695,Professor Pac-Man,2,64014
696,Space Ace,2,5454
697,Jr. Pac-Man,2,7453
698,Track & Field,2,6439
699,Lode Runner,2,4603
700,Donkey Kong 3,2,1088
701,Libble Rabble,2,37945
702,Spy Hunter,2,4167
703,Exerion,2,6104
704,Blaster (Vid Kidz),2,38540
705,Hoccer,2,39311
706,10-Yard Fight,2,2733
707,Spelunker,2,4621
708,Tag Team Wrestling,2,36587
709,Block Buster,2,38585
710,Birdiy,2,38592
711,Beastie Feastie,2,38596
712,Atlantic City Action,2,38605
713,Boardwalk Casino,2,38627
714,Baseball (Nintendo),2,7580
715,MotoRace USA,2,4626
716,Congo Bongo,2,5669
717,Chack'n Pop,2,6103
718,Sindbad Mystery,2,6135
719,Star Jacker,2,6140
720,Crossbow,5,11868
721,Pole Position II,2,12337
722,The Adventures of Major Havoc,2,18468
723,Krull,2,18692
724,Domino Man,2,23239
725,Mad Planets,2,23500
726,Wacko,2,23502
727,Bristles,2,23863
728,Zoo Keeper,2,23872
729,Espial,2,23932
730,Sky Lancer,2,23933
731,Star Rider,2,24012
732,Juno First,2,24062
733,M.A.C.H. 3,4,24406
734,Mr. Do!'s Castle,2,24408
735,TX-1,2,24434
736,Cliff Hanger,2,24504
737,Interstellar,2,24505
738,Marvin's Maze,2,24631
739,Cloak & Dagger,2,24632
740,Roc 'N Rope,2,25727
741,Hunchback,2,26118
742,Nova 2001,2,38563
743,Money Money,2,38582
744,Phozon,2,38745
745,Dingo,2,39339
746,Mouser,2,39382
747,Fax,2,39535
748,Q*bert's Qubes,2,39893
749,The Glob,2,40005
750,Mega Zone,2,40006
751,Senjyo,2,40018
752,Regulus,2,40071
753,Boomer Rang'r,2,40275
754,Cavelon,2,40971
755,Flip & Flop,2,41006
756,Exciting Soccer,2,46851
757,Barroom Baseball,2,46904
758,Popper,2,60878
759,NFL Football: San Diego Chargers/Los Angeles Raiders,2,62687
760,Laser Grand Prix,2,66531
761,Goal to Go,2,66534
762,Ice Cold Beer,2,77592
763,Journey,2,85680
764,Skelagon,2,85807
765,Swinging Singles,2,92158
766,Mazer Blazer,2,175623
767,Minefield,2,175624
768,Saturn,2,191755
769,Dacholer,2,196168
770,Bongo,2,240026
771,Botanic,2,240028
772,Heart Attack,2,252376
773,Blaster (Williams Electronics),2,282971
774,Mr. Kougar,2,285863
775,Change Lanes,2,292098
776,Cluster Buster,2,292831
777,Intrepid,2,297485
778,Champion Baseball 2,2,313578
779,Cloud 9,2,313579
780,Mr. Jong,2,329415
781,Casino Black Jack,2,336095
782,Mr. Do's Wild Ride,2,24630
783,Gorkans,2,38650
784,Dommy,2,40101
785,Eggs,2,40113
786,Fighting Roller,2,40132
787,Vs. Tennis,2,40535
788,Tennis,2,74548
789,Circus Charlie,2,25692
790,8 Ball Action,2,38566
791,Pandora's Palace,2,39380
792,The Battle Road,2,39617
793,Acrobatic Dog-Fight,2,39971
794,Chicken Shift,2,40023
795,Bullfight,2,40059
796,Herbie at The Olympics,2,40174
797,Jumping Cross,2,40200
798,Bull Fighter,2,40273
799,Vs. Mahjong,2,40522
800,Bull Fight,2,46499
801,Lode Runner II,2,46806
802,Akazukin,2,249524
803,Pinball,2,86428
804,Progress,2,40171
805,Spatter,2,40168
806,Pitfall II: The Lost Caverns,2,6125
807,Punch-Out!!,2,9150
808,Wild Gunman (1984),5,4625
809,Kung-Fu Taikun,2,40220
810,Vs. Baseball,2,40515
811,Demolition Derby (Midway),2,28379
812,Thayer's Quest,2,69071
813,Gaplus,2,21678
814,Hole Land,2,40348
815,Vs. Duck Hunt,2,94172
816,Crowns Golf,2,133532
817,Duck Hunt,5,2741
818,Golf,2,3399
819,Karate Champ,2,25835
820,Vulgus,2,25886
821,"I, Robot",2,24633
822,Appoooh,2,39845
823,Birdie King 3,2,40289
824,Equites,2,40299
825,Dynamic Ski,2,40304
826,Fire Battle,2,40330
827,Field Day,2,40332
828,Kick Start,2,40340
829,Pit & Run,2,40402
830,Seicross,2,40408
831,Sea Fighter Poseidon,2,40409
832,Roller Jammer,2,40420
833,Taxi Driver,2,40483
834,Wai Wai Jockey Gate-In!,2,40532
835,Badlands (Konami),4,176067
836,Stocker,2,40441
837,The Tin Star,2,40476
838,Zaviga,2,40567
839,Atomic Boy,2,38604
840,Vs. Gong Fight,2,40508
841,Water Match,2,40525
842,Wanted,2,40528
843,Hogan's Alley,5,4601
844,Revenger 84,2,306862
845,Hyper Sports,2,6115
846,The Tower of Druaga,2,4207
847,Vs. Pinball,2,40118
848,Vs. Wrecking Crew,2,40533
849,Vs. Golf,2,40540
850,Vs. Ladies Golf,2,168330
851,Pac-Land,2,6822
852,Buggy Challenge,2,242374
853,Super Punch-Out!!,2,9152
854,Star Wars: Return of the Jedi,4,12842
855,Grobda,2,21687
856,Formation Z,2,37190
857,Pirate Ship Higemaru,2,40092
858,Vs. Balloon Fight,2,40516
859,Great Swordsman,2,41085
860,Mikie: High School Graffiti,2,84164
861,Bank Panic,2,6083
862,Battle Wings,2,4608
863,Chinese Hero,2,19716
864,High School Graffiti: Mikie,2,22520
865,Vs. Ice Climber,2,41079
866,Forty-Love,2,41080
867,Ninja-Kid,2,64021
868,Yie Ar Kung-Fu,2,18170
869,Road Fighter,2,4607
870,Paperboy,2,11762
871,Ben Bero Beh,2,40265
872,Excitebike,2,4600
873,Spartan X,2,2901
874,1942,2,6075
875,Buzzard,2,38617
876,Hero in the Castle of Doom,2,40173
877,Vs. Excitebike,2,41296
878,Pettan Pyuu,2,151160
879,Vs. Clu Clu Land,2,40512
880,Marble Madness,2,2246
881,Kingdom: The Far Reaches,2,4250
882,Cobra Command (1984),4,5371
883,Bomb Jack,2,6100
884,Flicky,2,6105
885,GP World,2,6108
886,Mega Force,2,6139
887,Firefox,4,7970
888,Hat Trick,2,12326
889,Do! Run Run,2,12729
890,Revenge of the Ninja,2,19823
891,Super Xevious,2,20128
892,Root Beer Tapper,2,21869
893,Snake Pit,2,24011
894,Bouncer,2,24409
895,Turkey Shoot,2,24649
896,Us vs. Them,4,25631
897,Two Tigers,2,25667
898,The Three Stooges,2,25690
899,Cube Quest,2,25818
900,Timber,2,25881
901,Goalie Ghost,2,25882
902,Shrike Avenger,2,25883
903,Freeze,2,25884
904,Scion,2,25885
905,Cheyenne,5,25957
906,Super Don Quix-Ote,2,25969
907,World Grand Prix,2,29132
908,Mystic Marathon,2,38579
909,Vanguard 2,2,39330
910,Super Basketball,2,39389
911,Parallel Turn,2,39392
912,Snacks 'n Jaxson,2,39410
913,Kick Rider,2,39512
914,Mysterious Stones: Dr John's Adventure,2,39717
915,Mister Viking,2,39719
916,Esh's Aurunmilla,2,39978
917,Super Bagman,2,40003
918,Time Pilot 84,2,40008
919,Son Son,2,40010
920,Future Spy,2,40037
921,Jack Rabbit,2,40052
922,Mad Crasher,2,40078
923,Tube Panic,2,40163
924,Shusse Ozumo,2,60653
925,Hunchback at the Olympics,2,70105
926,Hangman,2,106204
927,Trivial Pursuit Arcade,2,131504
928,Vs. Urban Champion,2,169998
929,Vertigo,4,171501
930,Speed Coin,2,175626
931,Kung-Fu Master,2,214459
932,Itazura Tenshi,2,224946
933,Rumba Lumber,2,272680
934,Berenstain Bears in Big Paw's Cave,2,273082
935,Boulder Dash (Exidy),2,280823
936,Strength & Skill: Guiness Book of Records,2,283734
937,Complex X,2,301911
938,SWAT,2,307058
939,Othello,2,332704
940,Off the Wall (1984),2,333931
941,Driving Force,2,340214
942,Outer Zone,2,350505
943,Liberation,2,355236
944,Lode Runner: The Bungeling Strikes Back,2,375137
945,Cycle Maabou,2,375607
946,Gladiator 1984,2,38645
947,Drakton,2,40096
948,Fighting Basketball,2,40134
949,Night Gal Summer,2,229340
950,Balloon Fight,2,2735
951,Doki-doki Penguin Land,2,6096
952,Exed Exes,2,6671
953,Indoor Soccer,2,39839
954,Crazy Rally,2,39939
955,Galivan - Cosmo Police,2,40020
956,Bogey Manor,2,40027
957,I'm Sorry,2,40053
958,Lode Runner III - The Golden Labyrinth,2,40082
959,Hex Pool,2,40172
960,Heavy Metal,2,46797
961,Gridiron Fight,4,39731
962,Repulse,2,47201
963,Scooter Shooter,2,40199
964,Dig Dug II: Trouble in Paradise,2,2736
965,Star Wars: The Empire Strikes Back,4,12732
966,Konami GT,2,138086
967,Vs. Hogan's Alley,2,169999
968,The Koukou Yakyuu,2,282326
969,TwinBee,2,4623
970,Shao-Lin's Road,2,28954
971,Kicker,2,350706
972,Splendor Blast II,2,267759
973,Field Combat,2,206086
